Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Erling Haaland,9,no NOR,FW,24-230,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Jeremy Doku,11,be BEL,"LM,RM",22-285,90,3,3,1,1,1,1,1,100.0,0,0,0,0,1,4,0,0
Phil Foden,47,eng ENG,CM,24-284,68,2,1,1,1,0,0,0,,0,1,0,1,0,2,0,0
Kevin De Bruyne,17,be BEL,CM,33-253,22,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Bernardo Silva,20,pt POR,"CM,RM",30-210,90,4,1,1,2,1,1,4,25.0,3,1,0,1,1,5,1,0
Sávio,26,br BRA,"RM,LM",20-332,68,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Omar Marmoush,7,eg EGY,CM,26-029,22,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0
Nicolás González,14,es ESP,DM,23-064,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Mateo Kovačić,8,hr CRO,DM,30-306,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Joško Gvardiol,24,hr CRO,LB,23-044,90,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,6,0
Rúben Dias,3,pt POR,CB,27-298,90,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,3,0
Abdukodir Khusanov,45,uz UZB,CB,21-007,90,1,1,1,0,0,0,0,,0,2,2,0,2,3,5,0
Matheus Nunes,27,pt POR,RB,26-193,60,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,0,0
Rico Lewis,82,eng ENG,RB,20-107,30,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Ederson,31,br BRA,GK,31-203,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
