Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Michail Antonio,9,jm JAM,FW,34-149,61,11,11,0,0,0,0,1,0,0,0,0,0,6,0,1
Aaron Wan-Bissaka,29,eng ENG,RB,26-272,29,7,6,1,0,0,0,0,1,0,0,0,0,3,0,0
Mohammed Kudus,14,gh GHA,LM,24-022,88,16,16,0,0,1,0,3,0,0,0,0,0,14,0,2
Jean-Clair Todibo,25,fr FRA,CB,24-238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Paquetá,10,br BRA,"CM,LM",26-363,90,46,44,2,1,0,1,0,0,0,0,0,0,35,0,1
Tomáš Souček,28,cz CZE,CM,29-179,77,21,21,0,0,0,0,1,0,0,0,0,0,13,0,0
Edson Álvarez,19,mx MEX,"CM,DM",26-305,13,7,6,0,0,1,0,0,0,0,0,0,0,6,1,0
Jarrod Bowen,20,eng ENG,RM,27-248,90,21,18,3,0,0,1,6,0,3,0,3,0,14,0,0
Guido Rodríguez,24,ar ARG,"DM,CM",30-134,90,40,40,0,0,0,0,0,0,0,0,0,0,31,0,2
Emerson Palmieri,33,it ITA,LB,30-021,88,46,43,3,0,0,0,1,3,0,0,0,0,38,0,0
Aaron Cresswell,3,eng ENG,LB,34-253,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Kilman,26,eng ENG,CB,27-093,90,64,61,3,3,0,0,0,0,0,0,0,0,57,0,0
Konstantinos Mavropanos,15,gr GRE,CB,26-257,90,55,54,1,1,0,1,1,0,0,0,0,0,42,0,0
Vladimír Coufal,5,cz CZE,RB,32-002,62,38,27,11,2,0,0,1,9,0,0,0,0,28,0,3
Niclas Füllkrug,11,de GER,FW,31-197,28,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Alphonse Areola,23,fr FRA,GK,31-179,90,46,28,17,4,0,0,0,0,0,0,0,0,29,1,0
