Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Evanilson,9,br BRA,FW,24-344,67,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Luis Sinisterra,17,co COL,"FW,LW",25-089,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marcus Tavernier,16,eng ENG,LW,25-176,82,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,1,0
Enes Ünal,26,tr TUR,FW,27-127,8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Antoine Semenyo,24,gh GHA,RW,24-251,90,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,0,0
Justin Kluivert,19,nl NED,AM,25-132,74,1,1,0,1,0,0,0,,0,0,0,0,2,3,1,0
Philip Billing,29,dk DEN,AM,28-095,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ryan Christie,10,sct SCO,DM,29-205,67,1,0,0,1,0,0,1,0.0,1,3,2,1,1,2,0,1
Alex Scott,8,eng ENG,DM,21-024,23,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
Lewis Cook,4,eng ENG,DM,27-224,90,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Milos Kerkez,3,hu HUN,LB,20-312,90,2,2,1,0,1,2,3,66.7,1,0,0,0,2,4,4,0
Marcos Senesi,5,ar ARG,CB,27-127,90,3,1,3,0,0,0,2,0.0,2,2,2,0,1,4,2,0
Illia Zabarnyi,27,ua UKR,CB,22-013,90,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,3,0
Adam Smith,15,eng ENG,RB,33-138,74,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,3,0
Julian Araujo,22,mx MEX,RB,23-032,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Mark Travers,42,ie IRL,GK,25-119,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
