Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nicolas Jackson,15,sn SEN,FW,23-287,81,1,0,0,1,2,3,0,0,0,0,0,0,1,0,3,0.0
Reece James,24,eng ENG,RB,25-116,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jadon Sancho,19,eng ENG,LW,25-009,67,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,0.0
Noni Madueke,11,eng ENG,"RW,RM",23-024,23,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,0.0
Pedro Neto,7,pt POR,"RW,FW,LW",25-025,90,1,0,0,1,3,0,7,0,1,0,0,0,1,0,1,0.0
Cole Palmer,20,eng ENG,AM,22-332,89,1,0,0,0,1,0,5,0,3,0,0,0,4,0,0,
Tosin Adarabioyo,4,eng ENG,CB,27-191,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
Enzo Fernández,8,ar ARG,DM,24-076,89,0,0,0,1,1,0,5,1,1,0,0,0,4,0,1,0.0
Kiernan Dewsbury-Hall,22,eng ENG,CM,26-209,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,
Moisés Caicedo,25,ec ECU,"DM,CM",23-152,90,0,0,0,0,3,0,0,0,4,0,0,0,5,1,3,25.0
Marc Cucurella,3,es ESP,LB,26-255,90,1,0,0,0,0,0,1,0,3,0,0,0,2,1,0,100.0
Levi Colwill,6,eng ENG,CB,22-036,90,0,0,0,3,0,1,0,0,0,0,0,0,4,1,2,33.3
Trevoh Chalobah,23,eng ENG,CB,25-272,90,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
Malo Gusto,27,fr FRA,"RB,LM,LW",21-319,90,0,0,0,0,1,1,3,1,0,0,0,0,8,0,1,0.0
Robert Sánchez,1,es ESP,GK,27-136,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
