Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Yoane Wissa,11,cd COD,FW,28-133,90,16,15,1,0,0,0,0,0,0,0,0,0,12,0,2
Mikkel Damsgaard,24,dk DEN,"LW,LM",24-195,90,49,48,1,1,0,0,3,0,0,0,0,0,39,0,1
Bryan Mbeumo,19,cm CMR,RW,25-160,90,34,30,3,0,0,0,6,0,3,2,0,0,19,1,0
Mathias Jensen,8,dk DEN,LM,29-013,67,44,35,9,2,0,0,3,5,1,1,0,0,36,0,1
Kevin Schade,7,de GER,LW,23-048,23,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0
Vitaly Janelt,27,de GER,CM,26-249,78,26,26,0,0,0,0,0,0,0,0,0,0,21,0,1
Yehor Yarmoliuk,18,ua UKR,CM,20-319,12,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
Christian Nørgaard,6,dk DEN,RM,30-310,90,47,47,0,0,0,0,1,0,0,0,0,0,38,0,1
Keane Lewis-Potter,23,eng ENG,"LB,RB",23-327,90,34,31,3,0,0,0,4,3,0,0,0,0,28,0,1
Sepp van den Berg,4,nl NED,CB,23-025,90,47,43,3,0,0,0,0,0,0,0,0,0,44,1,0
Nathan Collins,22,ie IRL,CB,23-259,90,49,46,1,1,0,0,0,0,0,0,0,0,44,2,1
Mads Roerslev,30,dk DEN,RB,25-204,86,33,29,4,0,0,0,3,4,0,0,0,0,21,0,1
Rico Henry,3,eng ENG,LB,27-190,4,5,3,2,0,0,0,0,2,0,0,0,0,2,0,0
Mark Flekken,1,nl NED,GK,31-215,90,53,44,9,0,0,0,0,0,0,0,0,0,35,0,0
