Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Diogo Jota,20,pt POR,FW,27-285,59,14,13,1,0,0,0,0,1,0,0,0,0,8,0,2
Darwin Núñez,9,uy URU,FW,25-082,31,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Luis Díaz,7,co COL,LW,27-245,59,26,25,1,0,0,0,0,1,0,0,0,0,25,0,0
Cody Gakpo,18,nl NED,LW,25-130,31,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0
Mohamed Salah,11,eg EGY,RW,32-091,90,43,42,1,0,0,1,2,1,0,0,0,0,30,0,1
Dominik Szoboszlai,8,hu HUN,AM,23-325,90,65,59,6,0,0,1,3,3,1,0,1,0,49,0,2
Alexis Mac Allister,10,ar ARG,DM,25-265,59,49,47,2,0,0,0,0,2,0,0,0,0,46,0,1
Conor Bradley,84,nir NIR,"CB,RB",21-067,31,23,20,3,0,0,1,1,3,0,0,0,0,18,0,1
Ryan Gravenberch,38,nl NED,"DM,CM",22-121,90,73,71,2,2,0,0,1,0,0,0,0,0,64,0,1
Andrew Robertson,26,sct SCO,LB,30-187,74,55,42,13,3,0,0,3,8,2,2,0,0,49,0,1
Kostas Tsimikas,21,gr GRE,CB,28-125,16,11,9,2,0,0,0,0,2,0,0,0,0,11,0,0
Virgil van Dijk,4,nl NED,CB,33-068,90,108,102,6,4,0,2,0,0,0,0,0,0,94,0,0
Ibrahima Konaté,5,fr FRA,CB,25-112,74,60,59,1,1,0,0,0,0,0,0,0,0,56,0,0
Curtis Jones,17,eng ENG,CM,23-228,16,9,8,1,0,0,0,0,1,0,0,0,0,8,0,0
Trent Alexander-Arnold,66,eng ENG,"RB,CM,DM",25-343,90,81,68,13,0,0,1,8,9,4,2,1,0,56,0,2
Alisson,1,br BRA,GK,31-348,90,20,17,3,1,0,0,0,0,0,0,0,0,17,0,0
