Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Diogo Jota,20,pt POR,FW,27-285,59,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Darwin Núñez,9,uy URU,FW,25-082,31,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Luis Díaz,7,co COL,LW,27-245,59,2,2,0,2,0,0,2,0.0,2,0,0,0,1,3,0,0
Cody Gakpo,18,nl NED,LW,25-130,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohamed Salah,11,eg EGY,RW,32-091,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Dominik Szoboszlai,8,hu HUN,AM,23-325,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Alexis Mac Allister,10,ar ARG,DM,25-265,59,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Conor Bradley,84,nir NIR,"CB,RB",21-067,31,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Ryan Gravenberch,38,nl NED,"DM,CM",22-121,90,2,1,1,1,0,0,1,0.0,1,2,0,2,2,4,1,0
Andrew Robertson,26,sct SCO,LB,30-187,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kostas Tsimikas,21,gr GRE,CB,28-125,16,1,1,0,0,1,1,1,100.0,0,1,0,1,1,2,0,0
Virgil van Dijk,4,nl NED,CB,33-068,90,0,0,0,0,0,0,0,,0,0,0,0,6,6,8,0
Ibrahima Konaté,5,fr FRA,CB,25-112,74,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0
Curtis Jones,17,eng ENG,CM,23-228,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,66,eng ENG,"RB,CM,DM",25-343,90,4,2,1,3,0,3,4,75.0,1,0,0,0,0,4,1,0
Alisson,1,br BRA,GK,31-348,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
