Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dango Ouattara,11,bf BFA,FW,23-014,76,16,16,0,0,0,0,1,0,0,0,0,0,11,0,0
Evanilson,9,br BRA,FW,25-142,14,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Antoine Semenyo,24,gh GHA,"LW,RW",25-049,90,32,31,1,0,0,0,3,1,0,0,0,0,28,0,0
David Brooks,7,wls WAL,RW,27-232,45,10,8,2,1,0,0,2,0,1,0,0,0,6,0,0
Marcus Tavernier,16,eng ENG,"RW,DM",25-340,45,23,19,4,1,0,0,1,2,1,1,0,0,17,0,3
Justin Kluivert,19,nl NED,AM,25-296,90,46,35,11,1,0,0,10,0,7,7,0,0,35,0,0
Tyler Adams,12,us USA,"DM,CB",26-011,90,76,71,4,3,0,0,1,1,0,0,0,0,61,1,2
Ryan Christie,10,sct SCO,DM,30-003,25,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Alex Scott,8,eng ENG,DM,21-188,65,29,29,0,0,1,1,0,0,0,0,0,0,21,0,0
Milos Kerkez,3,hu HUN,LB,21-110,90,55,43,12,0,0,0,2,12,0,0,0,0,45,0,1
Dean Huijsen,2,es ESP,CB,19-317,90,75,71,3,0,0,1,0,0,0,0,0,0,62,1,0
James Hill,23,eng ENG,CB,23-046,84,55,54,1,1,0,0,0,0,0,0,0,0,40,0,1
Luis Sinisterra,17,co COL,LW,25-253,6,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Lewis Cook,4,eng ENG,RB,28-022,90,49,45,3,1,0,0,2,2,0,0,0,0,41,1,2
Kepa Arrizabalaga,13,es ESP,GK,30-145,90,38,29,8,4,0,0,0,0,0,0,0,0,27,1,0
