Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Erling Haaland,9,no NOR,FW,24-237,90,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,50.0
Jeremy Doku,11,be BEL,LW,22-292,90,1,0,0,2,1,0,2,0,1,0,0,0,1,0,1,0.0
Sávio,26,br BRA,RW,20-339,57,1,0,0,1,1,0,1,1,1,0,0,0,3,0,0,
Bernardo Silva,20,pt POR,RW,30-217,18,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
Phil Foden,47,eng ENG,RW,24-291,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Omar Marmoush,7,eg EGY,AM,26-036,85,0,0,0,1,1,1,1,0,0,1,0,0,3,0,2,0.0
Kevin De Bruyne,17,be BEL,AM,33-260,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
İlkay Gündoğan,19,de GER,DM,34-142,90,0,0,0,3,1,0,4,0,1,0,0,0,5,0,1,0.0
Nicolás González,14,es ESP,DM,23-071,90,0,0,0,2,0,0,0,0,2,0,0,0,7,3,3,50.0
Joško Gvardiol,24,hr CRO,LB,23-051,90,0,0,0,0,1,0,0,1,3,0,0,0,4,3,0,100.0
Rúben Dias,3,pt POR,CB,27-305,90,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2,33.3
Abdukodir Khusanov,45,uz UZB,CB,21-014,90,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,75.0
Rico Lewis,82,eng ENG,RB,20-114,90,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,
Stefan Ortega,18,de GER,GK,32-129,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
