Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jordan Ayew,18,gh GHA,FW,33-060,87,2,1,0,1,1,0,0,,0,1,0,1,1,3,1,0
Odsonne Édouard,29,fr FRA,FW,26-299,3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Abdul Fatawu Issahaku,7,gh GHA,"LW,RB",20-247,90,1,0,0,1,0,0,0,,0,2,0,2,0,1,1,0
Facundo Buonanotte,40,ar ARG,RW,19-323,90,1,1,1,0,0,1,2,50.0,1,3,0,3,1,2,0,0
Wilfred Ndidi,6,ng NGA,LM,27-330,69,2,1,1,1,0,0,2,0.0,2,2,1,1,1,3,0,0
Bilal El Khannouss,11,ma MAR,LM,20-184,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harry Winks,8,eng ENG,CM,28-282,90,2,2,0,2,0,0,0,,0,1,1,0,0,2,2,0
Boubakary Soumaré,24,fr FRA,RM,25-257,90,2,1,2,0,0,1,2,50.0,1,2,1,1,2,4,0,0
Victor Bernth Kristiansen,16,dk DEN,LB,21-330,90,2,2,2,0,0,1,4,25.0,3,1,1,0,0,2,4,0
Jannik Vestergaard,23,dk DEN,CB,32-099,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,2,0
Wout Faes,3,be BEL,CB,26-221,90,3,2,3,0,0,0,2,0.0,2,1,1,0,1,4,8,0
James Justin,2,eng ENG,RB,26-261,82,5,3,2,2,1,4,6,66.7,2,1,1,0,1,6,2,0
Kasey McAteer,35,ie IRL,"LW,RB",22-354,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mads Hermansen,30,dk DEN,GK,24-122,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
