Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jean-Philippe Mateta,14,fr FRA,FW,27-278,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Eddie Nketiah,9,eng ENG,FW,25-307,32,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Eberechi Eze,10,eng ENG,AM,26-277,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Ismaila Sarr,7,sn SEN,"AM,WB",27-036,90,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,2,0
Jefferson Lerma,8,co COL,"CM,CB",30-159,90,2,2,0,2,0,2,4,50.0,2,0,0,0,0,2,5,0
Adam Wharton,20,eng ENG,CM,20-304,85,3,0,1,2,0,1,3,33.3,2,1,0,1,1,4,2,0
Justin Devenny,55,nir NIR,CM,21-173,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Tyrick Mitchell,3,eng ENG,WB,25-213,58,1,1,0,1,0,1,2,50.0,1,1,1,0,1,2,1,0
Ben Chilwell,25,eng ENG,WB,28-102,32,2,2,1,1,0,0,1,0.0,1,2,0,2,0,2,2,0
Daniel Muñoz,12,co COL,WB,28-311,75,1,1,0,0,1,0,0,,0,1,0,1,0,1,3,0
Matheus França,11,br BRA,"AM,WB",21-001,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marc Guéhi,6,eng ENG,CB,24-263,90,2,2,1,1,0,0,0,,0,0,0,0,1,3,4,1
Maxence Lacroix,5,fr FRA,CB,24-361,90,4,2,4,0,0,2,3,66.7,1,3,2,1,1,5,6,0
Nathaniel Clyne,17,eng ENG,CB,33-362,58,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0
Daichi Kamada,18,jp JPN,CM,28-240,32,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0
Dean Henderson,1,eng ENG,GK,28-021,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
