Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Erling Haaland,9,no NOR,FW,24-041,90,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0
Jack Grealish,10,eng ENG,LW,28-356,71,40,40,0,0,0,0,1,0,0,0,0,0,36,0,1
Matheus Nunes,27,pt POR,LW,26-004,19,14,14,0,0,1,0,0,0,0,0,0,0,12,0,0
Jeremy Doku,11,be BEL,RW,22-096,67,38,37,0,0,1,0,5,0,0,0,0,0,32,1,0
İlkay Gündoğan,19,de GER,"CM,AM",33-312,23,26,26,0,0,1,0,0,0,0,0,0,0,26,0,0
Kevin De Bruyne,17,be BEL,CM,33-064,87,95,79,16,1,0,1,13,2,11,2,3,1,75,0,3
Nathan Aké,6,nl NED,LB,29-195,3,7,4,3,1,0,0,0,2,0,0,0,0,6,0,1
Bernardo Silva,20,pt POR,"CM,RW",30-021,90,77,73,4,4,1,0,1,0,0,0,0,0,71,0,2
Mateo Kovačić,8,hr CRO,DM,30-117,90,97,97,0,0,0,0,0,0,0,0,0,0,93,0,0
Rico Lewis,82,eng ENG,DM,19-284,90,62,59,3,1,0,0,1,2,0,0,0,0,57,0,0
Joško Gvardiol,24,hr CRO,LB,22-221,87,61,58,3,0,0,0,1,3,0,0,0,0,58,0,0
Kyle Walker,2,eng ENG,RB,34-095,3,11,10,1,0,0,0,0,1,0,0,0,0,10,0,1
Rúben Dias,3,pt POR,CB,27-109,90,82,80,2,1,0,0,0,0,0,0,0,0,76,0,0
Manuel Akanji,25,ch SUI,"RB,CB",29-043,90,102,101,1,0,0,1,0,1,0,0,0,0,98,0,1
Ederson,31,br BRA,GK,31-014,90,38,32,6,1,0,0,0,0,0,0,0,0,33,0,0
