Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Evanilson,9,br BRA,FW,25-190,90,0,0,0,1,0,1,0,0,2,0,0,0,2,5,2,71.4
Dango Ouattara,11,bf BFA,LW,23-062,90,0,0,0,0,1,0,0,0,0,0,0,0,7,3,5,37.5
Antoine Semenyo,24,gh GHA,RW,25-097,88,0,0,0,1,1,0,1,0,0,0,0,0,4,2,5,28.6
Julio Soler,20,ar ARG,RW,20-057,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Alex Scott,8,eng ENG,AM,21-236,64,0,0,0,0,3,0,1,0,0,0,0,0,4,0,0,
Marcus Tavernier,16,eng ENG,AM,26-023,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Lewis Cook,4,eng ENG,DM,28-070,90,1,0,0,1,0,0,5,1,1,0,0,0,5,3,1,75.0
Tyler Adams,12,us USA,DM,26-059,90,1,0,0,3,0,0,0,0,1,0,0,0,5,4,0,100.0
Milos Kerkez,3,hu HUN,LB,21-158,90,0,0,0,0,3,0,6,0,0,0,0,0,5,3,2,60.0
Marcos Senesi,5,ar ARG,CB,27-339,45,1,0,0,2,0,0,1,0,0,0,0,0,3,0,1,0.0
Illia Zabarnyi,27,ua UKR,CB,22-225,45,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
Dean Huijsen,2,es ESP,CB,20-000,90,0,0,0,2,0,1,0,1,0,0,0,0,1,2,2,50.0
Adam Smith,15,eng ENG,RB,33-350,90,0,0,0,0,0,0,2,2,1,0,0,0,2,3,0,100.0
Kepa Arrizabalaga,13,es ESP,GK,30-193,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
