Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Mikel Merino,23,es ESP,"FW,LM",28-283,90,2,0,0,2,0,0,2,0.0,2,0,0,0,1,3,0,0
Gabriel Martinelli,11,br BRA,LW,23-287,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ethan Nwaneri,53,eng ENG,RW,18-011,65,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
Bukayo Saka,7,eng ENG,RW,23-208,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Declan Rice,41,eng ENG,"LM,CM",26-077,90,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0
Thomas Partey,5,gh GHA,"CM,RB",31-292,90,3,2,0,3,0,3,5,60.0,2,2,0,2,1,4,3,0
Martin Ødegaard,8,no NOR,RM,26-105,90,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
Myles Lewis-Skelly,49,eng ENG,LB,18-187,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Gabriel Magalhães,6,br BRA,CB,27-103,15,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Jakub Kiwior,15,pl POL,CB,25-045,75,3,1,2,1,0,2,3,66.7,1,0,0,0,0,3,5,1
William Saliba,2,fr FRA,CB,24-008,90,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,4,1
Jurriën Timber,12,nl NED,RB,23-288,76,2,2,0,2,0,1,1,100.0,0,1,0,1,0,2,0,0
Leandro Trossard,19,be BEL,FW,30-118,14,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0
David Raya,22,es ESP,GK,29-198,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
