Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,28-211,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,1
Kevin Schade,7,de GER,LW,23-126,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0
Bryan Mbeumo,19,cm CMR,RW,25-238,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,1
Yehor Yarmoliuk,18,ua UKR,"AM,DM",21-032,82,3,2,0,1,2,1,3,33.3,2,1,0,1,0,3,0,0
Edmond-Paris Maghoma,32,eng ENG,DM,23-329,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Vitaly Janelt,27,de GER,DM,26-327,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Mikkel Damsgaard,24,dk DEN,AM,24-273,32,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Christian Nørgaard,6,dk DEN,DM,31-023,90,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,2,0
Keane Lewis-Potter,23,eng ENG,LB,24-039,90,2,1,0,1,1,1,2,50.0,1,0,0,0,1,3,4,2
Ethan Pinnock,5,jm JAM,CB,31-308,82,2,2,1,1,0,0,1,0.0,1,1,1,0,0,2,3,1
Kristoffer Ajer,20,no NOR,RB,26-350,8,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Nathan Collins,22,ie IRL,CB,23-337,90,1,0,0,0,1,0,2,0.0,2,5,4,1,1,2,2,0
Sepp van den Berg,4,nl NED,"RB,CB",23-103,90,2,0,2,0,0,1,1,100.0,0,3,2,1,2,4,3,0
Mark Flekken,1,nl NED,GK,31-293,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
