Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Chris Wood,11,nz NZL,FW,32-282,80,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0.0
Jota Silva,20,pt POR,RM,25-044,10,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,100.0
Elliot Anderson,8,eng ENG,LW,21-313,60,0,0,0,0,2,0,1,1,1,0,0,0,7,1,1,50.0
Anthony Elanga,21,se SWE,"RW,FW",22-140,30,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,50.0
Nicolás Domínguez,16,ar ARG,RW,26-078,53,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,100.0
Callum Hudson-Odoi,14,eng ENG,"LW,LM,RW",23-312,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Morgan Gibbs-White,10,eng ENG,AM,24-231,80,0,0,0,1,2,2,0,0,1,0,0,0,5,3,2,60.0
Morato,4,br BRA,CB,23-076,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Ward-Prowse,18,eng ENG,"DM,CM",29-318,90,0,0,0,1,1,0,4,4,0,0,0,0,4,2,3,40.0
Ryan Yates,22,eng ENG,"DM,CM",26-298,90,1,0,0,1,3,1,0,0,0,0,0,0,3,0,1,0.0
Álex Moreno,19,es ESP,LB,31-098,79,1,0,0,1,0,0,1,3,6,0,0,0,6,0,1,0.0
Neco Williams,7,wls WAL,LB,23-154,11,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
Murillo,5,br BRA,CB,22-072,90,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0.0
Nikola Milenković,31,rs SRB,CB,26-338,90,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,60.0
Ola Aina,34,ng NGA,RB,27-342,90,0,0,0,0,1,0,0,0,3,0,0,0,7,0,1,0.0
Matz Sels,26,be BEL,GK,32-201,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
