Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,"FW,LW",25-147,89,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Emil Krafth,17,se SWE,CB,30-197,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Anthony Gordon,10,eng ENG,LW,23-357,72,2,1,1,1,0,2,4,50.0,2,0,0,0,0,2,0,0
Callum Wilson,9,eng ENG,FW,32-354,18,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Jacob Murphy,23,eng ENG,"RW,AM",29-357,90,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,1,0
Joe Willock,28,eng ENG,LM,25-179,45,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,1,0
Lewis Miley,67,eng ENG,"RM,CM",18-290,45,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0
Sandro Tonali,8,it ITA,CM,24-283,90,3,1,1,2,0,3,3,100.0,0,1,0,1,0,3,1,0
Bruno Guimarães,39,br BRA,"RM,LM",27-091,71,3,3,3,0,0,1,2,50.0,1,1,0,1,0,3,0,0
Sean Longstaff,36,eng ENG,"LM,AM",27-108,19,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
Lewis Hall,20,eng ENG,"LB,WB",20-160,90,7,3,4,3,0,3,4,75.0,1,0,0,0,0,7,0,0
Dan Burn,33,eng ENG,CB,32-282,90,3,1,1,2,0,2,2,100.0,0,0,0,0,1,4,6,1
Fabian Schär,5,ch SUI,CB,33-057,90,2,1,1,1,0,2,4,50.0,2,1,0,1,2,4,6,0
Kieran Trippier,2,eng ENG,RB,34-149,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Valentino Livramento,21,eng ENG,"RB,WB",22-095,45,1,1,1,0,0,0,1,0.0,1,1,1,0,0,1,2,0
Martin Dúbravka,1,sk SVK,GK,36-031,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
