Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Chris Wood,11,nz NZL,FW,32-261,75,12,12,0,0,0,0,1,0,0,0,0,0,7,0,0
Taiwo Awoniyi,9,ng NGA,FW,27-012,15,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Callum Hudson-Odoi,14,eng ENG,LW,23-291,89,38,38,0,0,1,0,3,0,0,0,0,0,32,0,3
Willy Boly,30,ci CIV,CB,33-203,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Anthony Elanga,21,se SWE,"RW,LM",22-119,90,28,19,9,0,0,0,9,0,9,4,5,0,19,0,0
Morgan Gibbs-White,10,eng ENG,AM,24-210,89,34,34,0,0,0,2,1,0,0,0,0,0,26,0,2
Jota Silva,20,pt POR,RM,25-023,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Elliot Anderson,8,eng ENG,DM,21-292,74,39,34,5,3,0,0,3,0,1,1,0,0,33,0,1
Nicolás Domínguez,16,ar ARG,"DM,CM",26-057,16,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Ibrahim Sangaré,6,ci CIV,DM,26-266,65,35,34,1,1,0,0,0,0,0,0,0,0,27,0,1
Ryan Yates,22,eng ENG,"DM,CM",26-277,25,17,14,3,3,0,0,0,0,0,0,0,0,15,0,1
Ola Aina,34,ng NGA,LB,27-321,90,59,48,11,2,0,0,0,9,0,0,0,0,52,0,1
Murillo,5,br BRA,CB,22-051,90,33,29,4,2,0,0,0,0,0,0,0,0,28,0,0
Nikola Milenković,31,rs SRB,CB,26-317,90,29,28,1,1,0,0,0,0,0,0,0,0,28,0,0
Neco Williams,7,wls WAL,RB,23-133,90,30,27,2,0,0,0,2,2,0,0,0,0,23,1,2
Matz Sels,26,be BEL,GK,32-180,90,18,14,4,2,0,0,0,0,0,0,0,0,6,0,0
