Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Rasmus Højlund,9,dk DEN,FW,21-280,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Joshua Zirkzee,11,nl NED,FW,23-172,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marcus Rashford,10,eng ENG,LW,27-010,56,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alejandro Garnacho,17,ar ARG,LW,20-132,34,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
Amad Diallo,16,ci CIV,RW,22-122,90,2,2,0,2,0,1,2,50.0,1,0,0,0,2,4,1,0
Bruno Fernandes,8,pt POR,AM,30-063,90,4,4,1,1,2,2,2,100.0,0,1,0,1,1,5,1,0
Manuel Ugarte Ribeiro,25,uy URU,DM,23-213,90,8,6,4,4,0,5,9,55.6,4,0,0,0,3,11,0,0
Casemiro,18,br BRA,DM,32-261,78,7,5,2,3,2,3,7,42.9,4,1,0,1,0,7,2,0
Christian Eriksen,14,dk DEN,DM,32-270,12,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Noussair Mazraoui,3,ma MAR,"LB,RB",26-362,90,5,2,4,1,0,1,4,25.0,3,3,0,3,0,5,3,0
Lisandro Martínez,6,ar ARG,"CB,LB",26-297,90,3,1,3,0,0,2,2,100.0,0,0,0,0,1,4,3,0
Matthijs de Ligt,4,nl NED,CB,25-090,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Diogo Dalot,20,pt POR,RB,25-237,56,3,3,2,1,0,1,7,14.3,6,0,0,0,0,3,2,0
Jonny Evans,35,nir NIR,"CB,RB",36-312,34,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
André Onana,24,cm CMR,GK,28-222,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
